,Star_name,Distance,Mass,Radius
792,Altair,0017,1.8,1.8
793,Acrux,0320,18,8.9
794,Aldebaran,0065,1.5,44
795,Antares,0600,12,680
796,Spica,0260,11.43,7.47
797,Pollux,0034,1.9,8.8
798,Fomalhaut,0025,1.9,1.8
799,Deneb,"2,600",19,203
800,Mimosa,0350,16,8.4
801,Regulus,0077,3.8,3.1
802,Adhara,0430,12.5,14
803,Shaula,0700,14.5,8.8
804,Castor,0052,2.8,2.4
805,Gacrux,0088,1.5,84
806,Bellatrix,0240,8.6,5.8
807,Elnath,0130,5.0,4.2
808,Miaplacidus,0110,3.5,6.8
809,Alnilam,"2,000",32,42
810,Gamma Velorum,"01,100",9.0,6
811,Alnair,0101,4.0,3.4
812,Alioth,0081,2.9,4.2
813,Alnitak,01050,33,20
814,Dubhe,0120,4.25,30
815,Mirfak,0590,8.5,68
816,Wezen,"1,600",17,200
817,Sargas,0270,5.7,26
818,Kaus Australis,0140,3.5,6.8
819,Avior,0630,9.0,130
820,Sun,0.000015813,1,1
821,Sirius,0008.6,2.1,1.71
822,Canopus,0310,15,71
823,Alpha Centauri,0004.4,1.1,1.2
824,Arcturus,0037,1.1,26
825,Vega,0025,2.2,2.7
826,Capella,0043,2.6,12
827,Rigel,0860,23,78.9
828,Procyon,0011.4,1.5,1.9
829,Betelgeuse,0640[1],20,950
830,Achernar,0144,6.7,9.3
831,Hadar,0390,10.5,8.6
832,Altair,0017,1.8,1.8
833,Acrux,0320,18,8.9
834,Aldebaran,0065,1.5,44
835,Antares,0600,12,680
836,Spica,0260,11.43,7.47
837,Pollux,0034,1.9,8.8
838,Fomalhaut,0025,1.9,1.8
839,Deneb,"2,600",19,203
840,Mimosa,0350,16,8.4
841,Regulus,0077,3.8,3.1
842,Adhara,0430,12.5,14
843,Shaula,0700,14.5,8.8
844,Castor,0052,2.8,2.4
845,Gacrux,0088,1.5,84
846,Bellatrix,0240,8.6,5.8
847,Elnath,0130,5.0,4.2
848,Miaplacidus,0110,3.5,6.8
849,Alnilam,"2,000",32,42
850,Gamma Velorum,"01,100",9.0,6
851,Alnair,0101,4.0,3.4
852,Alioth,0081,2.9,4.2
853,Alnitak,01050,33,20
854,Dubhe,0120,4.25,30
855,Mirfak,0590,8.5,68
856,Wezen,"1,600",17,200
857,Sargas,0270,5.7,26
858,Kaus Australis,0140,3.5,6.8
859,Avior,0630,9.0,130
860,Alkaid,0104,6.1,3.4
861,Sun,0.000015813,1,1
862,Sirius,0008.6,2.1,1.71
863,Canopus,0310,15,71
864,Alpha Centauri,0004.4,1.1,1.2
865,Arcturus,0037,1.1,26
866,Vega,0025,2.2,2.7
867,Capella,0043,2.6,12
868,Rigel,0860,23,78.9
869,Procyon,0011.4,1.5,1.9
870,Betelgeuse,0640[1],20,950
871,Achernar,0144,6.7,9.3
872,Hadar,0390,10.5,8.6
873,Altair,0017,1.8,1.8
874,Acrux,0320,18,8.9
875,Aldebaran,0065,1.5,44
876,Antares,0600,12,680
877,Spica,0260,11.43,7.47
878,Pollux,0034,1.9,8.8
879,Fomalhaut,0025,1.9,1.8
880,Deneb,"2,600",19,203
881,Mimosa,0350,16,8.4
882,Regulus,0077,3.8,3.1
883,Adhara,0430,12.5,14
884,Shaula,0700,14.5,8.8
885,Castor,0052,2.8,2.4
886,Gacrux,0088,1.5,84
887,Bellatrix,0240,8.6,5.8
888,Elnath,0130,5.0,4.2
889,Miaplacidus,0110,3.5,6.8
890,Alnilam,"2,000",32,42
891,Gamma Velorum,"01,100",9.0,6
892,Alnair,0101,4.0,3.4
893,Alioth,0081,2.9,4.2
894,Alnitak,01050,33,20
895,Dubhe,0120,4.25,30
896,Mirfak,0590,8.5,68
897,Wezen,"1,600",17,200
898,Sargas,0270,5.7,26
899,Kaus Australis,0140,3.5,6.8
900,Avior,0630,9.0,130
901,Alkaid,0104,6.1,3.4
902,Menkalinan,081,2.39,2.77
903,Sun,0.000015813,1,1
904,Sirius,0008.6,2.1,1.71
905,Canopus,0310,15,71
906,Alpha Centauri,0004.4,1.1,1.2
907,Arcturus,0037,1.1,26
908,Vega,0025,2.2,2.7
909,Capella,0043,2.6,12
910,Rigel,0860,23,78.9
911,Procyon,0011.4,1.5,1.9
912,Betelgeuse,0640[1],20,950
913,Achernar,0144,6.7,9.3
914,Hadar,0390,10.5,8.6
915,Altair,0017,1.8,1.8
916,Acrux,0320,18,8.9
917,Aldebaran,0065,1.5,44
918,Antares,0600,12,680
919,Spica,0260,11.43,7.47
920,Pollux,0034,1.9,8.8
921,Fomalhaut,0025,1.9,1.8
922,Deneb,"2,600",19,203
923,Mimosa,0350,16,8.4
924,Regulus,0077,3.8,3.1
925,Adhara,0430,12.5,14
926,Shaula,0700,14.5,8.8
927,Castor,0052,2.8,2.4
928,Gacrux,0088,1.5,84
929,Bellatrix,0240,8.6,5.8
930,Elnath,0130,5.0,4.2
931,Miaplacidus,0110,3.5,6.8
932,Alnilam,"2,000",32,42
933,Gamma Velorum,"01,100",9.0,6
934,Alnair,0101,4.0,3.4
935,Alioth,0081,2.9,4.2
936,Alnitak,01050,33,20
937,Dubhe,0120,4.25,30
938,Mirfak,0590,8.5,68
939,Wezen,"1,600",17,200
940,Sargas,0270,5.7,26
941,Kaus Australis,0140,3.5,6.8
942,Avior,0630,9.0,130
943,Alkaid,0104,6.1,3.4
944,Menkalinan,081,2.39,2.77
945,Atria,0390,7,92
946,Sun,0.000015813,1,1
947,Sirius,0008.6,2.1,1.71
948,Canopus,0310,15,71
949,Alpha Centauri,0004.4,1.1,1.2
950,Arcturus,0037,1.1,26
951,Vega,0025,2.2,2.7
952,Capella,0043,2.6,12
953,Rigel,0860,23,78.9
954,Procyon,0011.4,1.5,1.9
955,Betelgeuse,0640[1],20,950
956,Achernar,0144,6.7,9.3
957,Hadar,0390,10.5,8.6
958,Altair,0017,1.8,1.8
959,Acrux,0320,18,8.9
960,Aldebaran,0065,1.5,44
961,Antares,0600,12,680
962,Spica,0260,11.43,7.47
963,Pollux,0034,1.9,8.8
964,Fomalhaut,0025,1.9,1.8
965,Deneb,"2,600",19,203
966,Mimosa,0350,16,8.4
967,Regulus,0077,3.8,3.1
968,Adhara,0430,12.5,14
969,Shaula,0700,14.5,8.8
970,Castor,0052,2.8,2.4
971,Gacrux,0088,1.5,84
972,Bellatrix,0240,8.6,5.8
973,Elnath,0130,5.0,4.2
974,Miaplacidus,0110,3.5,6.8
975,Alnilam,"2,000",32,42
976,Gamma Velorum,"01,100",9.0,6
977,Alnair,0101,4.0,3.4
978,Alioth,0081,2.9,4.2
979,Alnitak,01050,33,20
980,Dubhe,0120,4.25,30
981,Mirfak,0590,8.5,68
982,Wezen,"1,600",17,200
983,Sargas,0270,5.7,26
984,Kaus Australis,0140,3.5,6.8
985,Avior,0630,9.0,130
986,Alkaid,0104,6.1,3.4
987,Menkalinan,081,2.39,2.77
988,Atria,0390,7,92
989,Alhena,0109,2.8,3.3
990,Sun,0.000015813,1,1
991,Sirius,0008.6,2.1,1.71
992,Canopus,0310,15,71
993,Alpha Centauri,0004.4,1.1,1.2
994,Arcturus,0037,1.1,26
995,Vega,0025,2.2,2.7
996,Capella,0043,2.6,12
997,Rigel,0860,23,78.9
998,Procyon,0011.4,1.5,1.9
999,Betelgeuse,0640[1],20,950
1000,Achernar,0144,6.7,9.3
1001,Hadar,0390,10.5,8.6
1002,Altair,0017,1.8,1.8
1003,Acrux,0320,18,8.9
1004,Aldebaran,0065,1.5,44
1005,Antares,0600,12,680
1006,Spica,0260,11.43,7.47
1007,Pollux,0034,1.9,8.8
1008,Fomalhaut,0025,1.9,1.8
1009,Deneb,"2,600",19,203
1010,Mimosa,0350,16,8.4
1011,Regulus,0077,3.8,3.1
1012,Adhara,0430,12.5,14
1013,Shaula,0700,14.5,8.8
1014,Castor,0052,2.8,2.4
1015,Gacrux,0088,1.5,84
1016,Bellatrix,0240,8.6,5.8
1017,Elnath,0130,5.0,4.2
1018,Miaplacidus,0110,3.5,6.8
1019,Alnilam,"2,000",32,42
1020,Gamma Velorum,"01,100",9.0,6
1021,Alnair,0101,4.0,3.4
1022,Alioth,0081,2.9,4.2
1023,Alnitak,01050,33,20
1024,Dubhe,0120,4.25,30
1025,Mirfak,0590,8.5,68
1026,Wezen,"1,600",17,200
1027,Sargas,0270,5.7,26
1028,Kaus Australis,0140,3.5,6.8
1029,Avior,0630,9.0,130
1030,Alkaid,0104,6.1,3.4
1031,Menkalinan,081,2.39,2.77
1032,Atria,0390,7,92
1033,Alhena,0109,2.8,3.3
1034,Peacock,0180,5.9,4.8
1035,Sun,0.000015813,1,1
1036,Sirius,0008.6,2.1,1.71
1037,Canopus,0310,15,71
1038,Alpha Centauri,0004.4,1.1,1.2
1039,Arcturus,0037,1.1,26
1040,Vega,0025,2.2,2.7
1041,Capella,0043,2.6,12
1042,Rigel,0860,23,78.9
1043,Procyon,0011.4,1.5,1.9
1044,Betelgeuse,0640[1],20,950
1045,Achernar,0144,6.7,9.3
1046,Hadar,0390,10.5,8.6
1047,Altair,0017,1.8,1.8
1048,Acrux,0320,18,8.9
1049,Aldebaran,0065,1.5,44
1050,Antares,0600,12,680
1051,Spica,0260,11.43,7.47
1052,Pollux,0034,1.9,8.8
1053,Fomalhaut,0025,1.9,1.8
1054,Deneb,"2,600",19,203
1055,Mimosa,0350,16,8.4
1056,Regulus,0077,3.8,3.1
1057,Adhara,0430,12.5,14
1058,Shaula,0700,14.5,8.8
1059,Castor,0052,2.8,2.4
1060,Gacrux,0088,1.5,84
1061,Bellatrix,0240,8.6,5.8
1062,Elnath,0130,5.0,4.2
1063,Miaplacidus,0110,3.5,6.8
1064,Alnilam,"2,000",32,42
1065,Gamma Velorum,"01,100",9.0,6
1066,Alnair,0101,4.0,3.4
1067,Alioth,0081,2.9,4.2
1068,Alnitak,01050,33,20
1069,Dubhe,0120,4.25,30
1070,Mirfak,0590,8.5,68
1071,Wezen,"1,600",17,200
1072,Sargas,0270,5.7,26
1073,Kaus Australis,0140,3.5,6.8
1074,Avior,0630,9.0,130
1075,Alkaid,0104,6.1,3.4
1076,Menkalinan,081,2.39,2.77
1077,Atria,0390,7,92
1078,Alhena,0109,2.8,3.3
1079,Peacock,0180,5.9,4.8
1080,Alsephina[2],0080,2.4,2.9
1081,Sun,0.000015813,1,1
1082,Sirius,0008.6,2.1,1.71
1083,Canopus,0310,15,71
1084,Alpha Centauri,0004.4,1.1,1.2
1085,Arcturus,0037,1.1,26
1086,Vega,0025,2.2,2.7
1087,Capella,0043,2.6,12
1088,Rigel,0860,23,78.9
1089,Procyon,0011.4,1.5,1.9
1090,Betelgeuse,0640[1],20,950
1091,Achernar,0144,6.7,9.3
1092,Hadar,0390,10.5,8.6
1093,Altair,0017,1.8,1.8
1094,Acrux,0320,18,8.9
1095,Aldebaran,0065,1.5,44
1096,Antares,0600,12,680
1097,Spica,0260,11.43,7.47
1098,Pollux,0034,1.9,8.8
1099,Fomalhaut,0025,1.9,1.8
1100,Deneb,"2,600",19,203
1101,Mimosa,0350,16,8.4
1102,Regulus,0077,3.8,3.1
1103,Adhara,0430,12.5,14
1104,Shaula,0700,14.5,8.8
1105,Castor,0052,2.8,2.4
1106,Gacrux,0088,1.5,84
1107,Bellatrix,0240,8.6,5.8
1108,Elnath,0130,5.0,4.2
1109,Miaplacidus,0110,3.5,6.8
1110,Alnilam,"2,000",32,42
1111,Gamma Velorum,"01,100",9.0,6
1112,Alnair,0101,4.0,3.4
1113,Alioth,0081,2.9,4.2
1114,Alnitak,01050,33,20
1115,Dubhe,0120,4.25,30
1116,Mirfak,0590,8.5,68
1117,Wezen,"1,600",17,200
1118,Sargas,0270,5.7,26
1119,Kaus Australis,0140,3.5,6.8
1120,Avior,0630,9.0,130
1121,Alkaid,0104,6.1,3.4
1122,Menkalinan,081,2.39,2.77
1123,Atria,0390,7,92
1124,Alhena,0109,2.8,3.3
1125,Peacock,0180,5.9,4.8
1126,Alsephina[2],0080,2.4,2.9
1127,Mirzam,0500,13.5,10
1128,Sun,0.000015813,1,1
1129,Sirius,0008.6,2.1,1.71
1130,Canopus,0310,15,71
1131,Alpha Centauri,0004.4,1.1,1.2
1132,Arcturus,0037,1.1,26
1133,Vega,0025,2.2,2.7
1134,Capella,0043,2.6,12
1135,Rigel,0860,23,78.9
1136,Procyon,0011.4,1.5,1.9
1137,Betelgeuse,0640[1],20,950
1138,Achernar,0144,6.7,9.3
1139,Hadar,0390,10.5,8.6
1140,Altair,0017,1.8,1.8
1141,Acrux,0320,18,8.9
1142,Aldebaran,0065,1.5,44
1143,Antares,0600,12,680
1144,Spica,0260,11.43,7.47
1145,Pollux,0034,1.9,8.8
1146,Fomalhaut,0025,1.9,1.8
1147,Deneb,"2,600",19,203
1148,Mimosa,0350,16,8.4
1149,Regulus,0077,3.8,3.1
1150,Adhara,0430,12.5,14
1151,Shaula,0700,14.5,8.8
1152,Castor,0052,2.8,2.4
1153,Gacrux,0088,1.5,84
1154,Bellatrix,0240,8.6,5.8
1155,Elnath,0130,5.0,4.2
1156,Miaplacidus,0110,3.5,6.8
1157,Alnilam,"2,000",32,42
1158,Gamma Velorum,"01,100",9.0,6
1159,Alnair,0101,4.0,3.4
1160,Alioth,0081,2.9,4.2
1161,Alnitak,01050,33,20
1162,Dubhe,0120,4.25,30
1163,Mirfak,0590,8.5,68
1164,Wezen,"1,600",17,200
1165,Sargas,0270,5.7,26
1166,Kaus Australis,0140,3.5,6.8
1167,Avior,0630,9.0,130
1168,Alkaid,0104,6.1,3.4
1169,Menkalinan,081,2.39,2.77
1170,Atria,0390,7,92
1171,Alhena,0109,2.8,3.3
1172,Peacock,0180,5.9,4.8
1173,Alsephina[2],0080,2.4,2.9
1174,Mirzam,0500,13.5,10
1175,Polaris,0430,5.4,39
1176,Sun,0.000015813,1,1
1177,Sirius,0008.6,2.1,1.71
1178,Canopus,0310,15,71
1179,Alpha Centauri,0004.4,1.1,1.2
1180,Arcturus,0037,1.1,26
1181,Vega,0025,2.2,2.7
1182,Capella,0043,2.6,12
1183,Rigel,0860,23,78.9
1184,Procyon,0011.4,1.5,1.9
1185,Betelgeuse,0640[1],20,950
1186,Achernar,0144,6.7,9.3
1187,Hadar,0390,10.5,8.6
1188,Altair,0017,1.8,1.8
1189,Acrux,0320,18,8.9
1190,Aldebaran,0065,1.5,44
1191,Antares,0600,12,680
1192,Spica,0260,11.43,7.47
1193,Pollux,0034,1.9,8.8
1194,Fomalhaut,0025,1.9,1.8
1195,Deneb,"2,600",19,203
1196,Mimosa,0350,16,8.4
1197,Regulus,0077,3.8,3.1
1198,Adhara,0430,12.5,14
1199,Shaula,0700,14.5,8.8
1200,Castor,0052,2.8,2.4
1201,Gacrux,0088,1.5,84
1202,Bellatrix,0240,8.6,5.8
1203,Elnath,0130,5.0,4.2
1204,Miaplacidus,0110,3.5,6.8
1205,Alnilam,"2,000",32,42
1206,Gamma Velorum,"01,100",9.0,6
1207,Alnair,0101,4.0,3.4
1208,Alioth,0081,2.9,4.2
1209,Alnitak,01050,33,20
1210,Dubhe,0120,4.25,30
1211,Mirfak,0590,8.5,68
1212,Wezen,"1,600",17,200
1213,Sargas,0270,5.7,26
1214,Kaus Australis,0140,3.5,6.8
1215,Avior,0630,9.0,130
1216,Alkaid,0104,6.1,3.4
1217,Menkalinan,081,2.39,2.77
1218,Atria,0390,7,92
1219,Alhena,0109,2.8,3.3
1220,Peacock,0180,5.9,4.8
1221,Alsephina[2],0080,2.4,2.9
1222,Mirzam,0500,13.5,10
1223,Polaris,0430,5.4,39
1224,Alphard,0180,3.0,50
1225,Sun,0.000015813,1,1
1226,Sirius,0008.6,2.1,1.71
1227,Canopus,0310,15,71
1228,Alpha Centauri,0004.4,1.1,1.2
1229,Arcturus,0037,1.1,26
1230,Vega,0025,2.2,2.7
1231,Capella,0043,2.6,12
1232,Rigel,0860,23,78.9
1233,Procyon,0011.4,1.5,1.9
1234,Betelgeuse,0640[1],20,950
1235,Achernar,0144,6.7,9.3
1236,Hadar,0390,10.5,8.6
1237,Altair,0017,1.8,1.8
1238,Acrux,0320,18,8.9
1239,Aldebaran,0065,1.5,44
1240,Antares,0600,12,680
1241,Spica,0260,11.43,7.47
1242,Pollux,0034,1.9,8.8
1243,Fomalhaut,0025,1.9,1.8
1244,Deneb,"2,600",19,203
1245,Mimosa,0350,16,8.4
1246,Regulus,0077,3.8,3.1
1247,Adhara,0430,12.5,14
1248,Shaula,0700,14.5,8.8
1249,Castor,0052,2.8,2.4
1250,Gacrux,0088,1.5,84
1251,Bellatrix,0240,8.6,5.8
1252,Elnath,0130,5.0,4.2
1253,Miaplacidus,0110,3.5,6.8
1254,Alnilam,"2,000",32,42
1255,Gamma Velorum,"01,100",9.0,6
1256,Alnair,0101,4.0,3.4
1257,Alioth,0081,2.9,4.2
1258,Alnitak,01050,33,20
1259,Dubhe,0120,4.25,30
1260,Mirfak,0590,8.5,68
1261,Wezen,"1,600",17,200
1262,Sargas,0270,5.7,26
1263,Kaus Australis,0140,3.5,6.8
1264,Avior,0630,9.0,130
1265,Alkaid,0104,6.1,3.4
1266,Menkalinan,081,2.39,2.77
1267,Atria,0390,7,92
1268,Alhena,0109,2.8,3.3
1269,Peacock,0180,5.9,4.8
1270,Alsephina[2],0080,2.4,2.9
1271,Mirzam,0500,13.5,10
1272,Polaris,0430,5.4,39
1273,Alphard,0180,3.0,50
1274,Mintaka,01200,24,16.5
1275,Sun,0.000015813,1,1
1276,Sirius,0008.6,2.1,1.71
1277,Canopus,0310,15,71
1278,Alpha Centauri,0004.4,1.1,1.2
1279,Arcturus,0037,1.1,26
1280,Vega,0025,2.2,2.7
1281,Capella,0043,2.6,12
1282,Rigel,0860,23,78.9
1283,Procyon,0011.4,1.5,1.9
1284,Betelgeuse,0640[1],20,950
1285,Achernar,0144,6.7,9.3
1286,Hadar,0390,10.5,8.6
1287,Altair,0017,1.8,1.8
1288,Acrux,0320,18,8.9
1289,Aldebaran,0065,1.5,44
1290,Antares,0600,12,680
1291,Spica,0260,11.43,7.47
1292,Pollux,0034,1.9,8.8
1293,Fomalhaut,0025,1.9,1.8
1294,Deneb,"2,600",19,203
1295,Mimosa,0350,16,8.4
1296,Regulus,0077,3.8,3.1
1297,Adhara,0430,12.5,14
1298,Shaula,0700,14.5,8.8
1299,Castor,0052,2.8,2.4
1300,Gacrux,0088,1.5,84
1301,Bellatrix,0240,8.6,5.8
1302,Elnath,0130,5.0,4.2
1303,Miaplacidus,0110,3.5,6.8
1304,Alnilam,"2,000",32,42
1305,Gamma Velorum,"01,100",9.0,6
1306,Alnair,0101,4.0,3.4
1307,Alioth,0081,2.9,4.2
1308,Alnitak,01050,33,20
1309,Dubhe,0120,4.25,30
1310,Mirfak,0590,8.5,68
1311,Wezen,"1,600",17,200
1312,Sargas,0270,5.7,26
1313,Kaus Australis,0140,3.5,6.8
1314,Avior,0630,9.0,130
1315,Alkaid,0104,6.1,3.4
1316,Menkalinan,081,2.39,2.77
1317,Atria,0390,7,92
1318,Alhena,0109,2.8,3.3
1319,Peacock,0180,5.9,4.8
1320,Alsephina[2],0080,2.4,2.9
1321,Mirzam,0500,13.5,10
1322,Polaris,0430,5.4,39
1323,Alphard,0180,3.0,50
1324,Mintaka,01200,24,16.5
1325,Scheat,0196,2.1,95
1326,Sun,0.000015813,1,1
1327,Sirius,0008.6,2.1,1.71
1328,Canopus,0310,15,71
1329,Alpha Centauri,0004.4,1.1,1.2
1330,Arcturus,0037,1.1,26
1331,Vega,0025,2.2,2.7
1332,Capella,0043,2.6,12
1333,Rigel,0860,23,78.9
1334,Procyon,0011.4,1.5,1.9
1335,Betelgeuse,0640[1],20,950
1336,Achernar,0144,6.7,9.3
1337,Hadar,0390,10.5,8.6
1338,Altair,0017,1.8,1.8
1339,Acrux,0320,18,8.9
1340,Aldebaran,0065,1.5,44
1341,Antares,0600,12,680
1342,Spica,0260,11.43,7.47
1343,Pollux,0034,1.9,8.8
1344,Fomalhaut,0025,1.9,1.8
1345,Deneb,"2,600",19,203
1346,Mimosa,0350,16,8.4
1347,Regulus,0077,3.8,3.1
1348,Adhara,0430,12.5,14
1349,Shaula,0700,14.5,8.8
1350,Castor,0052,2.8,2.4
1351,Gacrux,0088,1.5,84
1352,Bellatrix,0240,8.6,5.8
1353,Elnath,0130,5.0,4.2
1354,Miaplacidus,0110,3.5,6.8
1355,Alnilam,"2,000",32,42
1356,Gamma Velorum,"01,100",9.0,6
1357,Alnair,0101,4.0,3.4
1358,Alioth,0081,2.9,4.2
1359,Alnitak,01050,33,20
1360,Dubhe,0120,4.25,30
1361,Mirfak,0590,8.5,68
1362,Wezen,"1,600",17,200
1363,Sargas,0270,5.7,26
1364,Kaus Australis,0140,3.5,6.8
1365,Avior,0630,9.0,130
1366,Alkaid,0104,6.1,3.4
1367,Menkalinan,081,2.39,2.77
1368,Atria,0390,7,92
1369,Alhena,0109,2.8,3.3
1370,Peacock,0180,5.9,4.8
1371,Alsephina[2],0080,2.4,2.9
1372,Mirzam,0500,13.5,10
1373,Polaris,0430,5.4,39
1374,Alphard,0180,3.0,50
1375,Mintaka,01200,24,16.5
1376,Scheat,0196,2.1,95
1377,Almaaz,0653,15,140
1378,Sun,0.000015813,1,1
1379,Sirius,0008.6,2.1,1.71
1380,Canopus,0310,15,71
1381,Alpha Centauri,0004.4,1.1,1.2
1382,Arcturus,0037,1.1,26
1383,Vega,0025,2.2,2.7
1384,Capella,0043,2.6,12
1385,Rigel,0860,23,78.9
1386,Procyon,0011.4,1.5,1.9
1387,Betelgeuse,0640[1],20,950
1388,Achernar,0144,6.7,9.3
1389,Hadar,0390,10.5,8.6
1390,Altair,0017,1.8,1.8
1391,Acrux,0320,18,8.9
1392,Aldebaran,0065,1.5,44
1393,Antares,0600,12,680
1394,Spica,0260,11.43,7.47
1395,Pollux,0034,1.9,8.8
1396,Fomalhaut,0025,1.9,1.8
1397,Deneb,"2,600",19,203
1398,Mimosa,0350,16,8.4
1399,Regulus,0077,3.8,3.1
1400,Adhara,0430,12.5,14
1401,Shaula,0700,14.5,8.8
1402,Castor,0052,2.8,2.4
1403,Gacrux,0088,1.5,84
1404,Bellatrix,0240,8.6,5.8
1405,Elnath,0130,5.0,4.2
1406,Miaplacidus,0110,3.5,6.8
1407,Alnilam,"2,000",32,42
1408,Gamma Velorum,"01,100",9.0,6
1409,Alnair,0101,4.0,3.4
1410,Alioth,0081,2.9,4.2
1411,Alnitak,01050,33,20
1412,Dubhe,0120,4.25,30
1413,Mirfak,0590,8.5,68
1414,Wezen,"1,600",17,200
1415,Sargas,0270,5.7,26
1416,Kaus Australis,0140,3.5,6.8
1417,Avior,0630,9.0,130
1418,Alkaid,0104,6.1,3.4
1419,Menkalinan,081,2.39,2.77
1420,Atria,0390,7,92
1421,Alhena,0109,2.8,3.3
1422,Peacock,0180,5.9,4.8
1423,Alsephina[2],0080,2.4,2.9
1424,Mirzam,0500,13.5,10
1425,Polaris,0430,5.4,39
1426,Alphard,0180,3.0,50
1427,Mintaka,01200,24,16.5
1428,Scheat,0196,2.1,95
1429,Almaaz,0653,15,140
1430,Rasalgethi,0360,2.8,280
1431,Sun,0.000015813,1,1
1432,Sirius,0008.6,2.1,1.71
1433,Canopus,0310,15,71
1434,Alpha Centauri,0004.4,1.1,1.2
1435,Arcturus,0037,1.1,26
1436,Vega,0025,2.2,2.7
1437,Capella,0043,2.6,12
1438,Rigel,0860,23,78.9
1439,Procyon,0011.4,1.5,1.9
1440,Betelgeuse,0640[1],20,950
1441,Achernar,0144,6.7,9.3
1442,Hadar,0390,10.5,8.6
1443,Altair,0017,1.8,1.8
1444,Acrux,0320,18,8.9
1445,Aldebaran,0065,1.5,44
1446,Antares,0600,12,680
1447,Spica,0260,11.43,7.47
1448,Pollux,0034,1.9,8.8
1449,Fomalhaut,0025,1.9,1.8
1450,Deneb,"2,600",19,203
1451,Mimosa,0350,16,8.4
1452,Regulus,0077,3.8,3.1
1453,Adhara,0430,12.5,14
1454,Shaula,0700,14.5,8.8
1455,Castor,0052,2.8,2.4
1456,Gacrux,0088,1.5,84
1457,Bellatrix,0240,8.6,5.8
1458,Elnath,0130,5.0,4.2
1459,Miaplacidus,0110,3.5,6.8
1460,Alnilam,"2,000",32,42
1461,Gamma Velorum,"01,100",9.0,6
1462,Alnair,0101,4.0,3.4
1463,Alioth,0081,2.9,4.2
1464,Alnitak,01050,33,20
1465,Dubhe,0120,4.25,30
1466,Mirfak,0590,8.5,68
1467,Wezen,"1,600",17,200
1468,Sargas,0270,5.7,26
1469,Kaus Australis,0140,3.5,6.8
1470,Avior,0630,9.0,130
1471,Alkaid,0104,6.1,3.4
1472,Menkalinan,081,2.39,2.77
1473,Atria,0390,7,92
1474,Alhena,0109,2.8,3.3
1475,Peacock,0180,5.9,4.8
1476,Alsephina[2],0080,2.4,2.9
1477,Mirzam,0500,13.5,10
1478,Polaris,0430,5.4,39
1479,Alphard,0180,3.0,50
1480,Mintaka,01200,24,16.5
1481,Scheat,0196,2.1,95
1482,Almaaz,0653,15,140
1483,Rasalgethi,0360,2.8,280
1484,Tau Ceti,011.9,0.783,0.893
1485,Sun,0.000015813,1,1
1486,Sirius,0008.6,2.1,1.71
1487,Canopus,0310,15,71
1488,Alpha Centauri,0004.4,1.1,1.2
1489,Arcturus,0037,1.1,26
1490,Vega,0025,2.2,2.7
1491,Capella,0043,2.6,12
1492,Rigel,0860,23,78.9
1493,Procyon,0011.4,1.5,1.9
1494,Betelgeuse,0640[1],20,950
1495,Achernar,0144,6.7,9.3
1496,Hadar,0390,10.5,8.6
1497,Altair,0017,1.8,1.8
1498,Acrux,0320,18,8.9
1499,Aldebaran,0065,1.5,44
1500,Antares,0600,12,680
1501,Spica,0260,11.43,7.47
1502,Pollux,0034,1.9,8.8
1503,Fomalhaut,0025,1.9,1.8
1504,Deneb,"2,600",19,203
1505,Mimosa,0350,16,8.4
1506,Regulus,0077,3.8,3.1
1507,Adhara,0430,12.5,14
1508,Shaula,0700,14.5,8.8
1509,Castor,0052,2.8,2.4
1510,Gacrux,0088,1.5,84
1511,Bellatrix,0240,8.6,5.8
1512,Elnath,0130,5.0,4.2
1513,Miaplacidus,0110,3.5,6.8
1514,Alnilam,"2,000",32,42
1515,Gamma Velorum,"01,100",9.0,6
1516,Alnair,0101,4.0,3.4
1517,Alioth,0081,2.9,4.2
1518,Alnitak,01050,33,20
1519,Dubhe,0120,4.25,30
1520,Mirfak,0590,8.5,68
1521,Wezen,"1,600",17,200
1522,Sargas,0270,5.7,26
1523,Kaus Australis,0140,3.5,6.8
1524,Avior,0630,9.0,130
1525,Alkaid,0104,6.1,3.4
1526,Menkalinan,081,2.39,2.77
1527,Atria,0390,7,92
1528,Alhena,0109,2.8,3.3
1529,Peacock,0180,5.9,4.8
1530,Alsephina[2],0080,2.4,2.9
1531,Mirzam,0500,13.5,10
1532,Polaris,0430,5.4,39
1533,Alphard,0180,3.0,50
1534,Mintaka,01200,24,16.5
1535,Scheat,0196,2.1,95
1536,Almaaz,0653,15,140
1537,Rasalgethi,0360,2.8,280
1538,Tau Ceti,011.9,0.783,0.893
1539,Delta Pavonis,019.92,0.991,1.22
1540,Sun,0.000015813,1,1
1541,Sirius,0008.6,2.1,1.71
1542,Canopus,0310,15,71
1543,Alpha Centauri,0004.4,1.1,1.2
1544,Arcturus,0037,1.1,26
1545,Vega,0025,2.2,2.7
1546,Capella,0043,2.6,12
1547,Rigel,0860,23,78.9
1548,Procyon,0011.4,1.5,1.9
1549,Betelgeuse,0640[1],20,950
1550,Achernar,0144,6.7,9.3
1551,Hadar,0390,10.5,8.6
1552,Altair,0017,1.8,1.8
1553,Acrux,0320,18,8.9
1554,Aldebaran,0065,1.5,44
